gouvernorat,population,year,source
Tunis,1079330,2023,INS July 1 population by governorate
Ariana,676072,2023,INS July 1 population by governorate
Ben Arous,723911,2023,INS July 1 population by governorate
Manouba,427555,2023,INS July 1 population by governorate
Nabeul,875992,2023,INS July 1 population by governorate
Zaghouan,191330,2023,INS July 1 population by governorate
Bizerte,600697,2023,INS July 1 population by governorate
Béja,308813,2023,INS July 1 population by governorate
Jendouba,405182,2023,INS July 1 population by governorate
Le Kef,247844,2023,INS July 1 population by governorate
Siliana,229211,2023,INS July 1 population by governorate
Sousse,755379,2023,INS July 1 population by governorate
Monastir,612509,2023,INS July 1 population by governorate
Mahdia,448972,2023,INS July 1 population by governorate
Sfax,1029886,2023,INS July 1 population by governorate
Kairouan,602384,2023,INS July 1 population by governorate
Kasserine,466484,2023,INS July 1 population by governorate
Sidi Bouzid,460521,2023,INS July 1 population by governorate
Gabès,407699,2023,INS July 1 population by governorate
Médenine,523191,2023,INS July 1 population by governorate
Tataouine,152106,2023,INS July 1 population by governorate
Gafsa,355544,2023,INS July 1 population by governorate
Tozeur,116484,2023,INS July 1 population by governorate
Kébili,171725,2023,INS July 1 population by governorate
