demo_id,display_name,title,specialties,governorate,delegation,locality,sources,quality_score,quality_status
DEMO-001,Dr Demo 001,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-002,Dr Demo 002,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-003,Dr Demo 003,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-004,Dr Demo 004,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-005,Dr Demo 005,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-006,Dr Demo 006,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-007,Dr Demo 007,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-008,Dr Demo 008,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-009,Dr Demo 009,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-010,Dr Demo 010,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-011,Dr Demo 011,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-012,Dr Demo 012,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-013,Dr Demo 013,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-014,Dr Demo 014,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-015,Dr Demo 015,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-016,Dr Demo 016,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-017,Dr Demo 017,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-018,Dr Demo 018,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-019,Dr Demo 019,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-020,Dr Demo 020,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-021,Dr Demo 021,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-022,Dr Demo 022,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-023,Dr Demo 023,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-024,Dr Demo 024,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-025,Dr Demo 025,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-026,Dr Demo 026,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-027,Dr Demo 027,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-028,Dr Demo 028,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-029,Dr Demo 029,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-030,Dr Demo 030,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-031,Dr Demo 031,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-032,Dr Demo 032,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-033,Dr Demo 033,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-034,Dr Demo 034,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-035,Dr Demo 035,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-036,Dr Demo 036,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-037,Dr Demo 037,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-038,Dr Demo 038,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-039,Dr Demo 039,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-040,Dr Demo 040,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-041,Dr Demo 041,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-042,Dr Demo 042,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-043,Dr Demo 043,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-044,Dr Demo 044,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-045,Dr Demo 045,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-046,Dr Demo 046,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-047,Dr Demo 047,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-048,Dr Demo 048,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-049,Dr Demo 049,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-050,Dr Demo 050,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-051,Dr Demo 051,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-052,Dr Demo 052,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-053,Dr Demo 053,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
